name	size_bytes
GSM4750298_F002_barcodes.tsv.gz	13530
GSM4750298_F002_features.tsv.gz	318808
GSM4750298_F002_matrix.tsv.gz	14262152
GSM4750299_F004_barcodes.tsv.gz	15491
GSM4750299_F004_features.tsv.gz	318808
GSM4750299_F004_matrix.tsv.gz	16381802
GSM4750300_F006_barcodes.tsv.gz	19849
GSM4750300_F006_features.tsv.gz	318808
GSM4750300_F006_matrix.tsv.gz	24741465
GSM4750301_F007_barcodes.tsv.gz	32872
GSM4750301_F007_features.tsv.gz	281275
GSM4750301_F007_matrix.tsv.gz	37385297
GSM4750302_F008_barcodes.tsv.gz	28851
GSM4750302_F008_features.tsv.gz	318808
GSM4750302_F008_matrix.tsv.gz	35764123
GSM4750303_F012_barcodes.tsv.gz	31856
GSM4750303_F012_features.tsv.gz	318808
GSM4750303_F012_matrix.tsv.gz	36878290
GSM4750304_F013_barcodes.tsv.gz	89583
GSM4750304_F013_features.tsv.gz	318808
GSM4750304_F013_matrix.tsv.gz	57020995
GSM4750305_F014_barcodes.tsv.gz	35429
GSM4750305_F014_features.tsv.gz	318808
GSM4750305_F014_matrix.tsv.gz	39459879
GSM4750306_F016_barcodes.tsv.gz	26610
GSM4750306_F016_features.tsv.gz	318808
GSM4750306_F016_matrix.tsv.gz	33803782
GSM4750307_F017_barcodes.tsv.gz	44004
GSM4750307_F017_features.tsv.gz	318808
GSM4750307_F017_matrix.tsv.gz	55731489
GSM4750308_F024_barcodes.tsv.gz	39436
GSM4750308_F024_features.tsv.gz	318808
GSM4750308_F024_matrix.tsv.gz	51351977
GSM4750309_F020_barcodes.tsv.gz	32534
GSM4750309_F020_features.tsv.gz	318808
GSM4750309_F020_matrix.tsv.gz	45446507
GSM4750310_F021_barcodes.tsv.gz	35119
GSM4750310_F021_features.tsv.gz	318808
GSM4750310_F021_matrix.tsv.gz	36719329
GSM4750311_F023_barcodes.tsv.gz	41505
GSM4750311_F023_features.tsv.gz	318808
GSM4750311_F023_matrix.tsv.gz	53233979
GSM4750312_F002_filtered_contig_annotations.csv.gz	80005
GSM4750313_F004_filtered_contig_annotations.csv.gz	80978
GSM4750314_F006_filtered_contig_annotations.csv.gz	157186
GSM4750315_F007_filtered_contig_annotations.csv.gz	249967
GSM4750316_F008_filtered_contig_annotations.csv.gz	80797
GSM4750317_F012_filtered_contig_annotations.csv.gz	326145
GSM4750318_F013_filtered_contig_annotations.csv.gz	336833
GSM4750319_F014_filtered_contig_annotations.csv.gz	409309
GSM4750320_F016_filtered_contig_annotations.csv.gz	236659
GSM4750321_F017_filtered_contig_annotations.csv.gz	307719
GSM4750322_F024_filtered_contig_annotations.csv.gz	367117
GSM4750323_F020_filtered_contig_annotations.csv.gz	225345
GSM4750324_F021_filtered_contig_annotations.csv.gz	151324
GSM4750325_F023_filtered_contig_annotations.csv.gz	409856
GSM5684306_OH14_barcodes.tsv.gz	59731
GSM5684306_OH14_features.tsv.gz	318733
GSM5684306_OH14_matrix.mtx.gz	59163654
GSM5684307_OH15_barcodes.tsv.gz	58552
GSM5684307_OH15_features.tsv.gz	318733
GSM5684307_OH15_matrix.mtx.gz	65791732
GSM5684308_OH17_barcodes.tsv.gz	61247
GSM5684308_OH17_features.tsv.gz	318733
GSM5684308_OH17_matrix.mtx.gz	66867230
GSM5684309_OH14_filtered_contig_annotations.csv.gz	376415
GSM5684310_OH15_filtered_contig_annotations.csv.gz	453947
GSM5684311_OH17_filtered_contig_annotations.csv.gz	396605
