donor_id	sample_id	group	platform	cells_raw	cells_pass_qc	genes_detected	median_counts	median_genes	median_pct_mt
F002	GSM4750298	frail	F	2529	2370	33694	4876.5	1510.0	4.545171737670898
F004	GSM4750299	frail	F	2928	2738	33694	4494.0	1541.5	5.040963172912598
F006	GSM4750300	frail	F	3809	3702	33694	5272.0	1763.0	2.795516014099121
F007	GSM4750301	frail	F	8232	7985	33694	3867.0	1421.0	4.594734191894531
F008	GSM4750302	frail	F	5692	5341	33694	4854.0	1685.0	3.9155972003936768
F012	GSM4750303	young_adult	F	6327	6293	33694	4384.0	1481.0	3.8588755130767822
F013	GSM4750304	young_adult	F	19215	19191	33694	883.0	488.0	3.896103858947754
F014	GSM4750305	young_adult	F	7089	7006	33694	4462.0	1426.0	4.118063926696777
F016	GSM4750306	cord_blood	F	5219	5136	33694	5197.5	1687.0	3.4189562797546387
F017	GSM4750307	cord_blood	F	8943	8882	33694	4534.0	1565.0	3.6649303436279297
F024	GSM4750308	cord_blood	F	7968	7808	33694	5228.0	1625.5	3.694958448410034
F020	GSM4750309	healthy_old_non_frail	F	6477	6455	33694	4908.0	1772.0	3.2627646923065186
F021	GSM4750310	healthy_old_non_frail	F	6999	6934	33694	3819.5	1295.0	3.878082275390625
F023	GSM4750311	healthy_old_non_frail	F	8417	8344	33694	4711.0	1618.0	3.763568878173828
OH14	GSM5684306	healthy_old_non_frail	OH	12426	12260	33694	3165.0	1219.0	3.024244785308838
OH15	GSM5684307	healthy_old_non_frail	OH	12148	11833	33694	3606.0	1349.0	3.819355010986328
OH17	GSM5684308	healthy_old_non_frail	OH	12796	12405	33694	3498.0	1355.0	3.3663883209228516
