cell_type	contrast	n_group1	n_group2	mean_diff	p_value	test	adj_p_value_bh
B	frail_vs_young_adult	5	3	0.01610913640342132	0.7857142857142857	Mann-Whitney U donor fractions	0.8839285714285715
B	frail_vs_cord_blood	5	3	0.02546393561351229	0.39285714285714285	Mann-Whitney U donor fractions	0.5582706766917293
B	healthy_old_non_frail_vs_young_adult	6	3	-0.01945680252114315	0.38095238095238093	Mann-Whitney U donor fractions	0.5582706766917293
CD4_T	frail_vs_young_adult	5	3	-0.17784874131428624	0.39285714285714285	Mann-Whitney U donor fractions	0.5582706766917293
CD4_T	frail_vs_cord_blood	5	3	-0.14395060449220326	0.25	Mann-Whitney U donor fractions	0.5439560439560439
CD4_T	healthy_old_non_frail_vs_young_adult	6	3	-0.13503234959408977	0.5476190476190476	Mann-Whitney U donor fractions	0.670807453416149
CD8_T	frail_vs_young_adult	5	3	0.015155685468327802	1.0	Mann-Whitney U donor fractions	1.0
CD8_T	frail_vs_cord_blood	5	3	0.03952530238338796	0.03571428571428571	Mann-Whitney U donor fractions	0.24107142857142858
CD8_T	healthy_old_non_frail_vs_young_adult	6	3	0.06917151699450172	0.09523809523809523	Mann-Whitney U donor fractions	0.38571428571428573
DC	frail_vs_young_adult	5	3	0.0010375829740485246	0.5714285714285714	Mann-Whitney U donor fractions	0.670807453416149
DC	frail_vs_cord_blood	5	3	0.030711084414542216	0.03571428571428571	Mann-Whitney U donor fractions	0.24107142857142858
DC	healthy_old_non_frail_vs_young_adult	6	3	-0.01603064959744044	1.0	Mann-Whitney U donor fractions	1.0
Monocyte_CD14	frail_vs_young_adult	5	3	0.11182628859645652	0.03571428571428571	Mann-Whitney U donor fractions	0.24107142857142858
Monocyte_CD14	frail_vs_cord_blood	5	3	-0.043739675026151725	0.25	Mann-Whitney U donor fractions	0.5439560439560439
Monocyte_CD14	healthy_old_non_frail_vs_young_adult	6	3	0.05688443269668281	0.047619047619047616	Mann-Whitney U donor fractions	0.2571428571428571
Monocyte_FCGR3A	frail_vs_young_adult	5	3	0.003734708518773071	0.39285714285714285	Mann-Whitney U donor fractions	0.5582706766917293
Monocyte_FCGR3A	frail_vs_cord_blood	5	3	0.0044052051581740265	0.14285714285714285	Mann-Whitney U donor fractions	0.38571428571428573
Monocyte_FCGR3A	healthy_old_non_frail_vs_young_adult	6	3	0.00834724587202043	0.26190476190476186	Mann-Whitney U donor fractions	0.5439560439560439
NK	frail_vs_young_adult	5	3	0.0715263171258966	0.5714285714285714	Mann-Whitney U donor fractions	0.670807453416149
NK	frail_vs_cord_blood	5	3	0.09877096637384153	0.14285714285714285	Mann-Whitney U donor fractions	0.38571428571428573
NK	healthy_old_non_frail_vs_young_adult	6	3	0.06439372981098437	0.38095238095238093	Mann-Whitney U donor fractions	0.5582706766917293
Plasma	frail_vs_young_adult	5	3	-0.0050213102490810485	1.0	Mann-Whitney U donor fractions	1.0
Plasma	frail_vs_cord_blood	5	3	0.005766059400805577	0.14285714285714285	Mann-Whitney U donor fractions	0.38571428571428573
Plasma	healthy_old_non_frail_vs_young_adult	6	3	-0.008142593544474339	0.5476190476190476	Mann-Whitney U donor fractions	0.670807453416149
Platelet	frail_vs_young_adult	5	3	-0.036519667523556475	0.03571428571428571	Mann-Whitney U donor fractions	0.24107142857142858
Platelet	frail_vs_cord_blood	5	3	-0.016952273825908498	0.14285714285714285	Mann-Whitney U donor fractions	0.38571428571428573
Platelet	healthy_old_non_frail_vs_young_adult	6	3	-0.020134530117041517	0.38095238095238093	Mann-Whitney U donor fractions	0.5582706766917293
