cell_type	gene	n_frail_F	n_healthy_old_non_frail_F	mean_log2cpm_frail_F	mean_log2cpm_healthy_old_non_frail_F	log2cpm_difference_frail_minus_control_F_only	cliffs_delta	p_value	test	adj_p_value_bh
Monocyte_CD14	C19orf44	5	3	0.0	0.3992772690659508	-0.3992772690659508	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	CCL24	5	3	0.0	0.4173773784567698	-0.4173773784567698	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	GAS5-AS1	5	3	0.0	0.2850178646895839	-0.2850178646895839	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	MTUS1	5	3	0.0	0.2850178646895839	-0.2850178646895839	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP1-118J21.5	5	3	0.0	0.7780689035879252	-0.7780689035879252	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP1-225E12.2	5	3	0.0	0.6728798050525867	-0.6728798050525867	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-734I18.1	5	3	0.0	0.2850178646895839	-0.2850178646895839	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	SLC16A4	5	3	0.0	0.5955053514618167	-0.5955053514618167	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	UBXN10	5	3	0.0	0.4699964523952671	-0.4699964523952671	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZFP69B	5	3	0.0	0.4597088175037489	-0.4597088175037489	-1.0	0.016804604239087043	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC006547.15	5	3	0.03499618784925278	0.2850178646895839	-0.2500216768403311	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AEBP1	5	3	0.018028344242261247	0.5349449608591762	-0.5169166166169149	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AFF2	5	3	0.15671473127160548	1.171013113739763	-1.0142983824681575	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	EXPH5	5	3	0.018028344242261247	0.6728798050525867	-0.6548514608103254	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	FAM72D	5	3	0.018028344242261247	0.7357374645409461	-0.7177091202986848	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	GTF3C2-AS1	5	3	0.03499618784925278	0.3992772690659508	-0.364281081216698	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	LA16c-390E6.4	5	3	0.094362032329273	1.2304224817872704	-1.1360604494579973	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	MUC6	5	3	0.018028344242261247	0.7799233659611445	-0.7618950217188832	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
