cell_type	annotation_confidence	cells
B	high	8155
B	low	31
B	low_or_negative	201
B	moderate	220
CD4_T	high	36800
CD4_T	low	1296
CD4_T	low_or_negative	113
CD4_T	moderate	12666
CD8_T	high	9275
CD8_T	low	86
CD8_T	low_or_negative	9
CD8_T	moderate	928
DC	high	5037
DC	low	74
DC	low_or_negative	34
DC	moderate	837
Monocyte_CD14	high	16746
Monocyte_CD14	low	57
Monocyte_CD14	low_or_negative	15
Monocyte_CD14	moderate	170
Monocyte_FCGR3A	high	1194
Monocyte_FCGR3A	low	30
Monocyte_FCGR3A	low_or_negative	4
Monocyte_FCGR3A	moderate	187
NK	high	32649
NK	low	124
NK	low_or_negative	6
NK	moderate	1334
Plasma	high	1131
Plasma	low	8
Plasma	low_or_negative	700
Plasma	moderate	70
Platelet	high	4296
Platelet	low	6
Platelet	moderate	194
