cell_type	gene	n_donors	n_frail	n_healthy_old_non_frail	n_F_series	n_OH_series	coef_frail_vs_healthy_adjusted_for_OH	ci95_low	ci95_high	p_value_group	coef_OH_platform	p_value_platform	r_squared	test	adj_p_value_bh_group
Monocyte_CD14	SEC61A1	11	5	6	8	3	-0.8132770678277855	-0.9676971655612701	-0.658856970094301	1.9563410960473163e-06	0.02095388767228279	0.7866728377310437	0.9649408601504752	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.01067793383222512
Monocyte_CD14	GPRC5A	11	5	6	8	3	2.4787374150980366	2.0018015763426247	2.9556732538534485	2.1646789831291305e-06	1.5371966823160794	0.00016118333182541425	0.9472432144541318	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.01067793383222512
Monocyte_CD14	TMED7	11	5	6	8	3	-1.1890406926213897	-1.4225994060481968	-0.9554819791945826	2.533231267596802e-06	-0.7402037395574261	0.00018097665578169483	0.9451393107365081	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.01067793383222512
Monocyte_CD14	RP11-306G20.1	11	5	6	8	3	1.930618596797811	1.5342478293478639	2.326989364247758	3.5432465421406903e-06	0.8376879117127536	0.0024159257586679494	0.9426596583990111	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.01067793383222512
Monocyte_CD14	LDLRAD2	11	5	6	8	3	0.60068308268085	0.4759716264379636	0.7253945389237365	3.8560157483007915e-06	-1.5108234368495846e-17	0.9999999999999998	0.9573202684514384	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.01067793383222512
Monocyte_CD14	RP11-662I13.2	11	5	6	8	3	1.390715627187334	1.0965160473059763	1.6849152070686917	4.442660217276937e-06	0.1948907177386383	0.2090032047339494	0.9497905912784287	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.01067793383222512
Monocyte_CD14	RASD1	11	5	6	8	3	1.9532247130738638	1.5279629197290459	2.3784865064186818	5.5183227227163106e-06	2.814067231119233	7.994416201773558e-07	0.9613599873189174	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.011001597098541557
Monocyte_CD14	RAC1	11	5	6	8	3	1.0641887131825822	0.8250121802286738	1.3033652461364906	7.004114358925712e-06	-0.6392382855427012	0.0005653465684188973	0.9730916564464984	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.011001597098541557
Monocyte_CD14	RALGPS1	11	5	6	8	3	-0.8974768870463267	-1.099618270904938	-0.6953355031877153	7.117608543504057e-06	-0.2589856948143825	0.02959529939835788	0.9368231630567536	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.011001597098541557
Monocyte_CD14	TFDP1	11	5	6	8	3	1.2729060267110568	0.9835360221764663	1.5622760312456472	7.628872545968766e-06	-0.40903619079918796	0.01942466135282986	0.963324309379985	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.011001597098541557
